DESCRIPCION,UNIDAD,PRECIO UNITARIO,CPC ELEMENTO,NP/ND/EP,VAE (%),RECURSO
(Control Lógico Programable),,0.0,,,0.0,MATERIAL
"1 ESTACION AUTOMATICA DE PRODUCCIÓN CONTINUA DE SOLUCIÓN DE POLIMEROS, PROPILENO 3 COMPARTIMENTOS, INC. TABLERO DE CONTROL, PANEL POST - DILUCIÓN EN LINEA.",,0.0,,,0.0,MATERIAL
"3 BOMBAS DE CAVIDAD PROGRESIVA DOSIFICACIÓN DE POLÍMERO 3 G/L, CAUDAL 230-1050 L/H, TDH=20 MCA",,0.0,,,0.0,MATERIAL
"3 MEDIDORES DE CAUDAL DN 25MM, PN10, B-B",,0.0,,,0.0,MATERIAL
ABRAZADERA TIPO EMT D= D=3/4”.,,0.0,,,0.0,MATERIAL
"ABRAZADERA TIPO EMT D=1/2""",,0.0,,,0.0,MATERIAL
"ABRAZADERA TIPO EMT DE 1""",,0.0,,,0.0,MATERIAL
"ABRAZADERA TIPO EMT DE 1/2"".",,0.0,,,0.0,MATERIAL
"ACCESORIO DE ACERO INCLUYE RECUBRIMIENTO INTERNO Y EXTERNO D=2""",,0.0,,,0.0,MATERIAL
"ACCESORIO DE ACERO INCLUYE RECUBRIMIENTO INTERNO Y EXTERNO D=3""",,0.0,,,0.0,MATERIAL
ACCESORIO PARA CONEXIÓN EN TUBERÍA,,0.0,,,0.0,MATERIAL
ACCESORIO de polipropileno PVC/PP ROSCABLE 1/2”,,0.0,,,0.0,MATERIAL
ACCESORIOS ACERO INOXIDABLE AISI 304,,0.0,,,0.0,MATERIAL
ACERO DE REFUERZO,,0.0,,,0.0,MATERIAL
ACERO DE REFUERZO FY=4200KG/CM2,kg,1.08,,,0.0,MATERIAL
ACERO DE REFUERZO FY=4200KG/CM2,,0.0,,,0.0,MATERIAL
ACERO EN PERFIL,,0.0,,,0.0,MATERIAL
ACERO EN PLANCHA,,0.0,,,0.0,MATERIAL
ACETILENO,,0.0,,,0.0,MATERIAL
ACOPLE EXCAVADORA DE ORUGA (ROZADORA/MARTILLO HIDRO/ TALADRO),,0.0,,,0.0,EQUIPO
ACOPLE EXCAVADORA DE ORUGA (ROZADORA/MARTILLO HIDRO/ TALADRO).,,0.0,,,0.0,EQUIPO
ACTUADOR ELÉCTRICO PARA COMPUERTA 1400 X 1800 MM.,,0.0,,,0.0,MATERIAL
ACTUADOR ELÉCTRICO PARA VÁLVULA D= 250 MM,,0.0,,,0.0,MATERIAL
ACTUADOR ELÉCTRICO PARA VÁLVULA D= 300 MM,,0.0,,,0.0,MATERIAL
ACTUADOR ELÉCTRICO PARA VÁLVULA D= 400 MM,,0.0,,,0.0,MATERIAL
ADAPTADOR DE BAJANTE – ALCANTARILLADO,,0.0,,,0.0,MATERIAL
ADAPTADOR PARA ETHERNET PARA PLC,,0.0,,,0.0,MATERIAL
ADAPTADOR PARA SENSOR,,0.0,,,0.0,MATERIAL
ADHESIVO DE DOS COMPONENTES PARA ANCLAJE DE HORMIGÓN,,0.0,,,0.0,MATERIAL
